,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
23,Old Navy,Fitted Rib-Knit Henley Tank for Women,other,#554550,08/19/2020 17:32:22,Fitted Rib-Knit Henley Tank for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=554550012&cid=72091&pcid=72091&vid=1&grid=pds_23_1057_1&cpos=23&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$10.00,"57% cotton , 38% polyester, 5% spandex", ,57% ,38% , , , ,5% , , , , , , 
24,Old Navy,Oversized Logo-Graphic Weekend Tee for Women,top,#621819,08/19/2020 17:32:31,Oversized Logo-Graphic Weekend Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=621819002&cid=72091&pcid=72091&vid=1&grid=pds_24_1057_1&cpos=24&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$12.00,100% cotton, ,100% , , , , , , , , , , , 
25,Old Navy,EveryWear Printed Slub-Knit Tee for Women,top,#507516,08/19/2020 17:32:39,EveryWear Printed Slub-Knit Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=507516122&cid=72091&pcid=72091&vid=1&grid=pds_25_1057_1&cpos=25&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602,$10.00,100% cotton, ,100% , , , , , , , , , , , 
26,Old Navy,EveryWear V-Neck Pocket Tank Top for Women,top,#552623,08/19/2020 17:32:48,EveryWear V-Neck Pocket Tank Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=552623012&cid=72091&pcid=72091&vid=1&grid=pds_26_1057_1&cpos=26&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602,$5.00,100% cotton, ,100% , , , , , , , , , , , 
27,Old Navy,EveryWear Slub-Knit V-Neck Tank Top for Women,top,#552562,08/19/2020 17:32:56,EveryWear Slub-Knit V-Neck Tank Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=552562012&cid=72091&pcid=72091&vid=1&grid=pds_27_1057_1&cpos=27&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602,$5.00,100% cotton, ,100% , , , , , , , , , , , 
28,Old Navy,EveryWear Printed Slub-Knit Tee for Women,top,#507516,08/19/2020 17:33:05,EveryWear Printed Slub-Knit Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=507516082&cid=72091&pcid=72091&vid=1&grid=pds_28_1057_1&cpos=28&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$10.00,100% cotton, ,100% , , , , , , , , , , , 
29,Old Navy,EveryWear Graphic Tee for Women,top,#582021,08/19/2020 17:33:14,EveryWear Graphic Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=582021072&cid=72091&pcid=72091&vid=1&grid=pds_29_1057_1&cpos=29&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$12.00,100% cotton, ,100% , , , , , , , , , , , 
30,Old Navy,EveryWear Printed Slub-Knit Tee for Women,top,#507516,08/19/2020 17:33:23,EveryWear Printed Slub-Knit Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=507516062&cid=72091&pcid=72091&vid=1&grid=pds_30_1057_1&cpos=30&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$10.00,100% cotton, ,100% , , , , , , , , , , , 
31,Old Navy,EveryWear Slub-Knit V-Neck Tee for Women,top,#507518,08/19/2020 17:33:32,EveryWear Slub-Knit V-Neck Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=507518082&cid=72091&pcid=72091&vid=1&grid=pds_31_1057_1&cpos=31&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$8.00,100% cotton, ,100% , , , , , , , , , , , 
32,Old Navy,EveryWear Striped Chest-Pocket Tank Top for Women,top,#552619,08/19/2020 17:33:41,EveryWear Striped Chest-Pocket Tank Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=552619002&cid=72091&pcid=72091&vid=1&grid=pds_32_1057_1&cpos=32&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$5.00,100% cotton, ,100% , , , , , , , , , , , 
