,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
158,Reformation,Marlowe Dress,dress,1304961BII0XS,08/18/2020 18:15:25,Marlowe Dress - Reformation,https://www.thereformation.com/products/marlowe-dress?color=Bali&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
159,Reformation,Margot Skirt,bottoms,1304070BLK000,08/18/2020 18:15:41,Margot Skirt - Reformation,https://www.thereformation.com/products/margot-skirt?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
160,Reformation,Dietrich Dress,dress,1304926WTZ000,08/18/2020 18:15:56,Dietrich Dress - Reformation,https://www.thereformation.com/products/dietrich-dress?color=Waltz&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$198,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
161,Reformation,Landsby Two Piece,other,1306548VND000,08/18/2020 18:16:08,Landsby Two Piece - Reformation,https://www.thereformation.com/products/landsby-two-piece?color=Vineyard&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight linen fabric - 100% linen., , , , , , , , , , , ,100% , 
162,Reformation,Harleen Dress,dress,1306295PDI000,08/18/2020 18:16:22,Harleen Dress - Reformation,https://www.thereformation.com/products/harleen-dress?color=Paradiso&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
163,Reformation,Kaila Dress,dress,1304813BSH0XS,08/18/2020 18:16:36,Kaila Dress - Reformation,https://www.thereformation.com/products/kaila-dress?color=Blush&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"eco cinch is a medium weight stretch knit fabric with a soft handfeel made with 88% tencel ® lyocell, 12% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,12% , , , , , , 
164,Reformation,Rou Dress,dress,1302994BSH0XS,08/18/2020 18:16:49,Rou Dress - Reformation,https://www.thereformation.com/products/rou-dress?color=Blush&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"eco cinch is a medium weight stretch knit fabric with a soft handfeel made with 88% tencel ® lyocell, 12% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,12% , , , , , , 
165,Reformation,Formosa Dress,dress,1307129BLK0XS,08/18/2020 18:17:04,Formosa Dress - Reformation,https://www.thereformation.com/products/formosa-dress?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$148,"eco rib is a medium weight, stretchy ribbed knit with a soft handfeel - 88% tencel ® lyocell, 12% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,12% , , , , , , 
166,Reformation,Esther Dress,dress,1305843BLK000,08/18/2020 18:17:15,Esther Dress - Reformation,https://www.thereformation.com/products/esther-dress?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$218,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
167,Reformation,Kayo High & Skinny,other,1305250ERI023,08/18/2020 18:17:29,Kayo High & Skinny - Reformation,https://www.thereformation.com/products/kayo-high-skinny?color=Erie&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$118,"this is a comfort stretch denim that was sustainably made with 69% organically grown cotton, 30% tencel™ lyocell, and 1% elastane.", , , , , , , , , , ,1% , , 
168,Reformation,Rylan Two Piece,other,1306339EAN0XS,08/18/2020 18:17:41,Rylan Two Piece - Reformation,https://www.thereformation.com/products/rylan-two-piece?color=Ocean&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$148,"eco cinch lite is a lighter weight stretch knit fabric with a soft handfeel made with 90% tencel ® lyocell, 10% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,10% , , , , , , 
169,Reformation,Bondi Dress,dress,1306320IVY000,08/18/2020 18:17:56,Bondi Dress - Reformation,https://www.thereformation.com/products/bondi-dress?color=Ivy&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
170,Reformation,Liza High Straight Jean,bottoms,1302659LGN023,08/18/2020 18:18:12,Liza High Straight Jean - Reformation,https://www.thereformation.com/products/liza-high-straight-jean?color=Laguna&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"this is a comfort stretch denim that was sustainably made with 69% organically grown cotton, 30% tencel™ lyocell, and 1% elastane.", , , , , , , , , , ,1% , , 
171,Reformation,Nikita Dress Es,dress,1305189OMA014,08/18/2020 18:18:24,Nikita Dress Es - Reformation,https://www.thereformation.com/products/nikita-dress-es?color=Olympia&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
172,Reformation,Marabella Dress Es,dress,1304806MDL01X,08/18/2020 18:18:37,Marabella Dress Es - Reformation,https://www.thereformation.com/products/extended-sizes-marabella-dress?color=Madeline&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight linen fabric - 100% linen., , , , , , , , , , , ,100% , 
173,Reformation,Molly Two Piece,other,1304887BLK0XS,08/18/2020 18:18:51,Molly Two Piece - Reformation,https://www.thereformation.com/products/molly-two-piece?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$128,"eco rib is a medium weight, stretchy ribbed knit with a soft handfeel - 88% tencel ® lyocell, 12% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,12% , , , , , , 
