,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
117,H&M,Denim Shorts,bottoms,0736681007,08/18/2020 17:05:37,Denim Shorts - Light denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0736681007.html,$9.99,"cotton 98%, elastane 2%pocket lining: polyester 93%, cotton 7%", ,98%,93%, , , , , , , ,2%, , 
118,H&M,Slacks,bottoms,0779781013,08/18/2020 17:05:43,Slacks - Gray/houndstooth-patterned - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0779781013.html,$29.99,"polyester 82%, viscose 17%, elastane 1%", , ,82%, , , , , , ,17%,1%, , 
119,H&M,Cropped Jersey Camisole Top,top,0759871003,08/18/2020 17:05:49,Cropped Jersey Camisole Top - Gray melange - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0759871003.html,$4.99,"cotton 85%, viscose 10%, elastane 5%", ,85%, , , , , , , ,10%,5%, , 
120,H&M,Culotte High Ankle Jeans,bottoms,0861583009,08/18/2020 17:05:57,Culotte High Ankle Jeans - Light denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0861583009.html,$29.99,"cotton 99%, elastane 1%", ,99%, , , , , , , , ,1%, , 
121,H&M,Skinny Regular Ankle Jeans,bottoms,0898596003,08/18/2020 17:06:03,Skinny Regular Ankle Jeans - Denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0898596003.html,$9.99,"cotton 77%, polyester 22%, elastane 1%", ,77%,22%, , , , , , , ,1%, , 
122,H&M,Shorts High Waist,bottoms,0817472002,08/18/2020 17:06:11,Shorts High Waist - Light beige/black patterned - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0817472002.html,$12.99,viscose 100%, , , , , , , , , ,100%, , , 
123,H&M,Cotton Paper-bag Shorts,bottoms,0859105006,08/18/2020 17:06:20,Cotton Paper-bag Shorts - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0859105006.html,$12.99,shell: cotton 100%pocket lining: cotton 100%, ,100%, , , , , , , , , , , 
124,H&M,Cropped Top,top,0893420001,08/18/2020 17:06:26,Cropped Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0893420001.html,$12.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
125,H&M,Overlock-detail Cropped Top,top,0880312004,08/18/2020 17:06:33,Overlock-detail Cropped Top - Sage green - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0880312004.html,$12.99,"viscose 95%, elastane 5%", , , , , , , , , ,95%,5%, , 
126,H&M,Printed Sweatshirt,top,0921521001,08/18/2020 17:06:41,Printed Sweatshirt - White/Snoopy - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0921521001.html,$24.99,"cotton 80%, polyester 20%", ,80%,20%, , , , , , , , , , 
127,H&M,Suit Pants,bottoms,0568597006,08/18/2020 17:06:50,Suit Pants - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0568597006.html,$29.99,"polyester 64%, viscose 34%, elastane 2%", , ,64%, , , , , , ,34%,2%, , 
128,H&M,Faux Leather Dress,dress,0914319001,08/18/2020 17:06:56,Faux Leather Dress - Light beige - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0914319001.html,$34.99,coating: polyurethane 100%shell: polyester 100%, , ,100%, , , , , , , , , , 
129,H&M,T-shirt with Motif,top,0762470109,08/18/2020 17:07:02,T-shirt with Motif - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0762470109.html,$12.99,cotton 100%, ,100%, , , , , , , , , , , 
130,H&M,Skinny High Cropped Jeans,bottoms,0872261002,08/18/2020 17:07:09,Skinny High Cropped Jeans - Denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0872261002.html,$19.99,"cotton 78%, polyester 20%, elastane 2%", ,78%,20%, , , , , , , ,2%, , 
131,H&M,Oversized T-shirt,top,0849588007,08/18/2020 17:07:15,Oversized T-shirt - Taupe - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0849588007.html,$34.99,cotton 100%, ,100%, , , , , , , , , , , 
132,H&M,Button-front Dress,dress,0870355004,08/18/2020 17:07:21,Button-front Dress - Powder pink - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0870355004.html,$29.99,"polyester 99%, elastane 1%", , ,99%, , , , , , , ,1%, , 
133,H&M,Ribbed Cotton T-shirt,top,0800691009,08/18/2020 17:07:27,Ribbed Cotton T-shirt - Khaki green - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0800691009.html,$7.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
134,H&M,Jersey Turtleneck Top,top,0865929004,08/18/2020 17:07:34,Jersey Turtleneck Top - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0865929004.html,$9.99,"polyester 65%, viscose 35%", , ,65%, , , , , , ,35%, , , 
135,H&M,Loose-knit Cardigan,outterwear/jacket,0679854042,08/18/2020 17:07:43,Loose-knit Cardigan - Yellow - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0679854042.html,$12.99,"polyester 52%, viscose 46%, elastane 2%", , ,52%, , , , , , ,46%,2%, , 
136,H&M,Rib-knit Sweater,outterwear/jacket,0906226001,08/18/2020 17:07:50,Rib-knit Sweater - Black - | H&M US,https://www2.hm.com/en_us/productpage.0906226001.html,$24.99,"viscose 70%, polyamide 30%", , , , , , , , ,30%,70%, , , 
137,H&M,Tie Belt Shirt,top,0885543003,08/18/2020 17:07:57,Tie Belt Shirt - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0885543003.html,$24.99,viscose 100%, , , , , , , , , ,100%, , , 
138,H&M,Wide-cut Cotton Blouse,top,0918813002,08/18/2020 17:08:04,Wide-cut Cotton Blouse - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0918813002.html,$24.99,cotton 100%, ,100%, , , , , , , , , , , 
139,H&M,Dolman-sleeved Top,top,0892624003,08/18/2020 17:08:11,Dolman-sleeved Top - Dark blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0892624003.html,$17.99,"viscose 50%, polyester 50%", , ,50%, , , , , , ,50%, , , 
140,H&M,Jersey Biker Leggings,bottoms,0895830001,08/18/2020 17:08:16,Jersey Biker Leggings - Dark gray/washed out - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0895830001.html,$24.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
141,H&M,Shiny Blouse,top,0904374002,08/18/2020 17:08:23,Shiny Blouse - Black/white floral - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0904374002.html,$34.99,"lyocell 77%, polyamide 23%", , , , , , , , ,23%, , , ,77%
142,H&M,Fine-knit Cardigan,outterwear/jacket,0579541072,08/18/2020 17:08:35,Fine-knit Cardigan - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0579541072.html,$12.99,"viscose 70%, polyamide 30%", , , , , , , , ,30%,70%, , , 
143,H&M,Printed Hoodie,outterwear/jacket,0874114002,08/18/2020 17:08:40,Printed Hoodie - Natural white/NASA - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0874114002.html,$24.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
144,H&M,Cotton Puff-sleeved Blouse,top,0923232001,08/18/2020 17:08:48,Cotton Puff-sleeved Blouse - White - | H&M US,https://www2.hm.com/en_us/productpage.0923232001.html,$24.99,cotton 100%, ,100%, , , , , , , , , , , 
145,H&M,Button-front Cotton Skirt,bottoms,0887653002,08/18/2020 17:08:55,Button-front Cotton Skirt - Black/white floral - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0887653002.html,$29.99,"cotton 77%, polyamide 20%, elastane 3%", ,77%, , , , , , ,20%, ,3%, , 
146,H&M,Hoodie,outterwear/jacket,0715624010,08/18/2020 17:09:01,Hoodie - White/Love - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0715624010.html,$17.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
147,H&M,Pleated Skirt,bottoms,0851400015,08/18/2020 17:09:07,Pleated Skirt - Teal - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0851400015.html,$39.99,polyester 100%, , ,100%, , , , , , , , , , 
148,H&M,Cotton Shirt,top,0877273001,08/18/2020 17:09:15,Cotton Shirt - White - | H&M US,https://www2.hm.com/en_us/productpage.0877273001.html,$24.99,cotton 100%, ,100%, , , , , , , , , , , 
149,H&M,Scallop-trimmed Camisole Top,top,0895418002,08/18/2020 17:09:21,Scallop-trimmed Camisole Top - Black - | H&M US,https://www2.hm.com/en_us/productpage.0895418002.html,$24.99,lining: polyester 100%shell: polyester 100%, , ,100%, , , , , , , , , , 
150,H&M,Pencil Skirt,bottoms,0858856002,08/18/2020 17:09:30,Pencil Skirt - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0858856002.html,$29.99,"lining: polyester 100%shell: polyester 69%, viscose 20%, elastane 2%", , ,100%, , , , , , ,20%,2%, , 
151,H&M,Short Cotton Blouse,top,0887937001,08/18/2020 17:09:38,Short Cotton Blouse - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0887937001.html,$24.99,cotton 100%, ,100%, , , , , , , , , , , 
152,H&M,Faux Leather Skirt,bottoms,0873884006,08/18/2020 17:09:47,Faux Leather Skirt - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0873884006.html,$19.99,lining: polyester 100%coating: polyurethane 100%shell: polyester 100%, , ,100%, , , , , , , , , , 
