,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
189,Forever 21,Ornate Print Flare Pants,bottoms,Product Code : 2000415790,08/18/2020 17:12:41,Ornate Print Flare Pants | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000415790,$18.00,"- 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
190,Forever 21,Vincent Van Gogh Graphic Tee,top,Product Code : 2000409534,08/18/2020 17:12:50,Vincent Van Gogh Graphic Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000409534,$12.99,- 100% cotton, ,100% , , , , , , , , , , , 
191,Forever 21,Ribbed Ruffle-Strap Bodysuit,bodysuit/romper,Product Code : 2000401404,08/18/2020 17:12:56,Ribbed Ruffle-Strap Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000401404,$14.99,"- 57% cotton, 38% modal rayon, 5% spandex", ,57% , , , ,38% ,5% , , , , , , 
192,Forever 21,Sheer Mesh Lettuce-Edge Bodysuit,bodysuit/romper,Product Code : 2000409454,08/18/2020 17:13:02,Sheer Mesh Lettuce-Edge Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000409454,$12.99,"- 95% nylon, 5% spandex", , , , , , ,5% ,95% , , , , , 
193,Forever 21,Ornate Print Flare Pants,bottoms,Product Code : 2000415784,08/18/2020 17:13:07,Ornate Print Flare Pants | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000415784,$18.00,"- 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
194,Forever 21,Ornate Print Flare Pants,bottoms,Product Code : 2000415794,08/18/2020 17:13:13,Ornate Print Flare Pants | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000415794,$18.00,"- 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
195,Forever 21,Colorblock New York City Hoodie,outterwear/jacket,Product Code : 2000408906,08/18/2020 17:13:19,Colorblock New York City Hoodie | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408906,$22.99,- 100% rayon, , , , ,100% , , , , , , , , 
196,Forever 21,Tulip-Hem Bodycon Dress,dress,Product Code : 2000420771,08/18/2020 17:13:26,Tulip-Hem Bodycon Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000420771,$18.00,"- 92% polyester, 8% spandex", , ,92% , , , ,8% , , , , , , 
197,Forever 21,Ribbed Split-Neck Top,top,Product Code : 2000410534,08/18/2020 17:13:32,Ribbed Split-Neck Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410534,$14.99,"- 49% viscose, 32% polyester, 19% nylon", , ,32% , , , , ,19% , ,49% , , , 
198,Forever 21,Puff-Sleeve Turtleneck Sweater,outterwear/jacket,Product Code : 2000409242,08/18/2020 17:13:38,Puff-Sleeve Turtleneck Sweater | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000409242,$17.99,"- 78% rayon, 22% polyester", , ,22% , ,78% , , , , , , , , 
199,Forever 21,Ornate Print Flare Pants,bottoms,Product Code : 2000415787,08/18/2020 17:13:46,Ornate Print Flare Pants | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000415787,$18.00,"- 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
