,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
26,American Apparel,Flex Fleece Cropped Zip Hoodie,outterwear/jacket,f397w,08/18/2020 14:52:56,Flex Fleece Cropped Zip Hoodie | American Apparel,https://americanapparel.com/flex-fleece-cropped-zip-hoodie/,$24.68 - $55.76,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
27,American Apparel,Flex Fleece Dog Zip Hoodie,outterwear/jacket,f997w,08/18/2020 14:53:07,Flex Fleece Dog Zip Hoodie | American Apparel,https://americanapparel.com/flex-fleece-dog-zip-hoodie/,$18.00,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
28,American Apparel,Flex Fleece Dog Zip Hoodie,outterwear/jacket,f997w,08/18/2020 14:53:20,Flex Fleece Dog Zip Hoodie | American Apparel,https://americanapparel.com/flex-fleece-dog-zip-hoodie/?&defaultImageAlt=Flex%20Fleece%20Dog%20Zip%20Hoodie%20(Deep%20Pink),$18.00, , , , , , , , , , , , , , 
29,American Apparel,Flex Fleece Dog Zip Hoodie,outterwear/jacket,f997w,08/18/2020 14:53:31,Flex Fleece Dog Zip Hoodie | American Apparel,https://americanapparel.com/flex-fleece-dog-zip-hoodie/?&defaultImageAlt=Flex%20Fleece%20Dog%20Zip%20Hoodie%20(Lapis),$18.00,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
30,American Apparel,Flex Fleece Dog Zip Hoodie,outterwear/jacket,f997w,08/18/2020 14:53:44,Flex Fleece Dog Zip Hoodie | American Apparel,https://americanapparel.com/flex-fleece-dog-zip-hoodie/?&defaultImageAlt=Flex%20Fleece%20Dog%20Zip%20Hoodie%20(Forest),$18.00,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
31,American Apparel,Flex Fleece Raglan Cropped Sweatshirt,top,rsaf3451w,08/18/2020 14:53:56,Flex Fleece Raglan Cropped Sweatshirt | American Apparel,https://americanapparel.com/flex-fleece-raglan-cropped-sweatshirt/,$36.00,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
32,American Apparel,Gabardine Tennis Skirt,bottoms,rsagb300w,08/18/2020 14:54:09,Gabardine Tennis Skirt | American Apparel,https://americanapparel.com/gabardine-tennis-skirt/,$8.99 - $48.00,100% polyester, , ,100% , , , , , , , , , , 
33,American Apparel,Gabardine Tennis Skirt,bottoms,rsagb300w,08/18/2020 14:54:21,Gabardine Tennis Skirt | American Apparel,https://americanapparel.com/gabardine-tennis-skirt/?&defaultImageAlt=Gabardine%20Tennis%20Skirt%20(Black),$8.99 - $48.00,100% polyester, , ,100% , , , , , , , , , , 
34,American Apparel,Gabardine Tennis Skirt,bottoms,rsagb300w,08/18/2020 14:54:33,Gabardine Tennis Skirt | American Apparel,https://americanapparel.com/gabardine-tennis-skirt/?&defaultImageAlt=Gabardine%20Tennis%20Skirt%20(Khaki),$8.99 - $48.00,100% polyester, , ,100% , , , , , , , , , , 
35,American Apparel,Gabardine Tennis Skirt,bottoms,rsagb300w,08/18/2020 14:54:46,Gabardine Tennis Skirt | American Apparel,https://americanapparel.com/gabardine-tennis-skirt/?&defaultImageAlt=Gabardine%20Tennis%20Skirt%20(Patriot%20Blue),$8.99 - $48.00,100% polyester, , ,100% , , , , , , , , , , 
36,American Apparel,High-Waist Jean,bottoms,rsadm304w,08/18/2020 14:54:58,High-Waist Jean | American Apparel,https://americanapparel.com/high-waist-jean/,$19.50 - $78.00, , , , , , , , , , , , , , 
37,American Apparel,High-Waist Jean,bottoms,rsadm304w,08/18/2020 14:55:10,High-Waist Jean | American Apparel,https://americanapparel.com/high-waist-jean/?&defaultImageAlt=High-Waist%20Jean%20(Light%20Wash),$19.50 - $78.00,100% cotton, ,100% , , , , , , , , , , , 
38,American Apparel,Interlock Running Short,bottoms,7301w,08/18/2020 14:55:22,Interlock Running Short | American Apparel,https://americanapparel.com/interlock-running-short/,$13.64 - $26.00,100% cotton/p>, ,100% , , , , , , , , , , , 
39,American Apparel,Interlock Running Short (1),bottoms,7301w1,08/18/2020 14:55:34,Interlock Running Short | American Apparel,https://americanapparel.com/interlock-running-short-1/,$13.64 - $26.00,100% cotton/p>, ,100% , , , , , , , , , , , 
40,American Apparel,Metallic Halter Sunsuit,bodysuit/romper,rsac303w,08/18/2020 14:55:46,Metallic Halter Sunsuit | American Apparel,https://americanapparel.com/metallic-halter-sunsuit/,$18.80 - $38.00,80% nylon / 20% spandex, , , , , , ,20% ,80% , , , , , 
41,American Apparel,Metallic Legging,bottoms,rsac306w,08/18/2020 14:56:01,Metallic Legging | American Apparel,https://americanapparel.com/metallic-legging/,$15.40 - $38.00,80% nylon / 20% spandex, , , , , , ,20% ,80% , , , , , 
42,American Apparel,Mix Modal Cami,top,mm316w,08/18/2020 14:56:14,Mix Modal Cami | American Apparel,https://americanapparel.com/mix-modal-cami/,$13.38 - $14.83,95% modal/5% spandex, , , , , ,95% ,5% , , , , , , 
43,American Apparel,Mix Modal Crossback Slip Dress,dress,mm3650w,08/18/2020 14:56:24,Mix Modal Crossback Slip Dress | American Apparel,https://americanapparel.com/mix-modal-crossback-slip-dress/,$14.60 - $31.41,95% modal/5% spandex, , , , , ,95% ,5% , , , , , , 
44,American Apparel,Mix Modal Fitted T-Shirt,top,mm3221w,08/18/2020 14:56:36,Mix Modal Fitted T-Shirt | American Apparel,https://americanapparel.com/mix-modal-fitted-t-shirt/,$13.17 - $24.00, , , , , , , , , , , , , , 
45,American Apparel,Mix Modal Long Sleeve Drape Bodysuit,bodysuit/romper,mm3589w,08/18/2020 14:56:49,Mix Modal Long Sleeve Drape Bodysuit | American Apparel,https://americanapparel.com/mix-modal-long-sleeve-drape-bodysuit/,$17.66 - $35.04,95% modal/5% spandex, , , , , ,95% ,5% , , , , , , 
46,American Apparel,Mix Modal Pocket T-Shirt,top,mm3554w,08/18/2020 14:57:00,Mix Modal Pocket T-Shirt | American Apparel,https://americanapparel.com/mix-modal-pocket-t-shirt/,$24.00,95% modal/5% spandex, , , , , ,95% ,5% , , , , , , 
47,American Apparel,Mix Modal T-Shirt Bodysuit,top,mm3216w,08/18/2020 14:57:12,Mix Modal T-Shirt Bodysuit | American Apparel,https://americanapparel.com/mix-modal-t-shirt-bodysuit/,$16.76 - $34.00,95% modal/5% spandex, , , , , ,95% ,5% , , , , , , 
48,American Apparel,Nylon Tricot High Waist Legging,bottoms,rnt349w,08/18/2020 14:57:23,Nylon Tricot High Waist Legging | American Apparel,https://americanapparel.com/nylon-tricot-high-waist-legging/,$21.87 - $38.00,80% nylon / 20% spandex, , , , , , ,20% ,80% , , , , , 
49,American Apparel,Nylon Tricot High Waist Legging,bottoms,rnt349w,08/18/2020 14:57:34,Nylon Tricot High Waist Legging | American Apparel,https://americanapparel.com/nylon-tricot-high-waist-legging/?&defaultImageAlt=Nylon%20Tricot%20High%20Waist%20Legging%20(Cobalt),$21.87 - $38.00,80% nylon / 20% spandex, , , , , , ,20% ,80% , , , , , 
50,American Apparel,Nylon Tricot Leggings,bottoms,rnt38w,08/18/2020 14:57:44,Nylon Tricot Leggings | American Apparel,https://americanapparel.com/nylon-tricot-leggings/,$12.60 - $38.00,80% nylon / 20% spandex, , , , , , ,20% ,80% , , , , , 
51,American Apparel,Nylon Tricot Leggings,bottoms,rnt38w,08/18/2020 14:57:55,Nylon Tricot Leggings | American Apparel,https://americanapparel.com/nylon-tricot-leggings/?&defaultImageAlt=Nylon%20Tricot%20Leggings%20(Black),$12.60 - $38.00, , , , , , , , , , , , , , 
52,American Apparel,Organic Fine Jersey Classic Crewneck T-Shirt,top,23215orgw,08/18/2020 14:58:06,Organic Fine Jersey Classic Crewneck T-Shirt | American Apparel,https://americanapparel.com/organic-fine-jersey-classic-crewneck-t-shirt/,$11.97 - $22.00, , , , , , , , , , , , , , 
53,American Apparel,Pencil Jean,bottoms,rsads300w,08/18/2020 14:58:19,Pencil Jean | American Apparel,https://americanapparel.com/pencil-jean/,$21.80 - $68.00,"our stretch denim fabric provides a streamlined fit, with ease of movement. you know and love it in our iconic pencil jean, now offered in new fashion styles.", , , , , , , , , , , , , 
54,American Apparel,Peppered Fleece Cropped Hoodie,outterwear/jacket,mt397w,08/18/2020 14:58:29,Peppered Fleece Cropped Hoodie | American Apparel,https://americanapparel.com/peppered-fleece-cropped-hoodie/,$38.00,65% cotton / 35% polyester, ,65% ,35% , , , , , , , , , , 
55,American Apparel,Peppered Fleece Cropped Pullover,outterwear/jacket,rsamt3451w,08/18/2020 14:58:41,Peppered Fleece Cropped Pullover | American Apparel,https://americanapparel.com/peppered-fleece-cropped-pullover/,$24.48 - $36.00,65% cotton / 35% polyester, ,65% ,35% , , , , , , , , , , 
56,American Apparel,Plaid Tennis Skirt,bottoms,rsapw301w,08/18/2020 14:58:52,Plaid Tennis Skirt | American Apparel,https://americanapparel.com/plaid-tennis-skirt/,$8.99 - $48.00, , , , , , , , , , , , , , 
